shop_name,shop_url,star_rating,review_text
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,貴重な犬ちゃん同伴OKのお店なので重宝しております。家族と犬ちゃん連れてご飯食べに行くならここかドッグデプトが多いです。犬ちゃんと一緒にご飯食べれるところは限られていいますからねぇ、、、、...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,6000円のアニバーサリーコースで予約しました。お肉やお料理の味はとっても美味しくて、ワンちゃん用のメニューもたくさんあってわんこも楽しそうに美味しそうにしてくれたので、満足ですが。研修中の男...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,小型犬同伴で行きました。ドッグフレンドリーで真夏の暑い中、店内に犬と食事できるのは大変有り難かったです。お肉は厚みがあり品質も良く、美味しかったです。犬用メニューもあり、焼肉をオーダーしましたが、我が...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,わんこのハーフバースデー祝いで訪問。夜は初めて。焼肉コースとワンコ用プレートを注文。お肉も普通に美味しかったです。周りもワンコ連れの方が多く、ワンコと一緒に行くには最適な店だと思います。また機会があれ...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,朝からずっと雨が降ってましたが、雨が止んだので遅めのランチを食べにお台場へ焼肉ランチへ行ってきました。うしすけさんは焼肉とBISTROとお台場に2店舗あって2店舗ともワンちゃんOKなワンちゃんフレンド...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,愛犬と一緒に焼肉を楽しんできました。お友達がワンコ連れで焼肉を楽しんでいるのをインスタで見て、ずっと気になっていました。お隣のビストロにも以前、伺わせて頂いたのですが、店内もワンコok なのは...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,平日 @５pm で一週間前に予約！２０１３年に３回アンジェリーナと一緒におじゃまして以来の再訪でなんと１２年振り〜♬ アクアシティ駐車場５F にクルマを入れて５F からワンOK〜♬ エレベータ...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,愛犬と行ける焼肉屋さん！ほぼワンちゃん連れでした。ロケーションのよいところにお店があって、最高です。6600円の食べ放題ではないコースで予約しました。お肉のお味は・・・もう少し美味しいとうれしいかな。...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,数少ないペット同伴OKの焼肉屋さんで、これで４〜5回目です。で、土曜日でしたが、ピークタイムを外して14時半頃に訪問しましたら予約なしで入れました。お肉はフツーに美味しいので人間はそれなりに満...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,犬と行ける焼肉屋一階にお店がるので便利他にも数店舗あり、前回はみなとみらい店が良かったので、今回はお台場店にいきました。味は安定して美味しく、犬用のメニューも豊富食べ放題もあるから沢山...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,お台場にはこちらに伺うために行っています。今回は年明けに伺いました。うちの子（犬）を連れていつもお世話になっています。こちらはペット可ではなくペットウエルカムです。ペット可のお店はたく...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,予約して利用しました。わんちゃん用の水を用意してくれたり、階段のところはバギー持ち上げてくれたり、犬への配慮は良かったと思います。お肉も食べ放題でしたが、とても種類が多くて良かったです。...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,ワンコ連れで店内に入ることが出来る素敵なお店です！冬の寒い時期店内は本当にありがたいです。わんこ用のお肉もあり、少し贅沢にみんなで頂きました。店員さんたちもとても優しく親切にしてくださいま...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,予約して訪問しました！愛犬はこれまでチキンは食べたことがありましたが、牛タンとレバーは初めて。香りと味に大興奮し、すごい食いつきでした！《注文メニュー》愛犬用•ドギーズプレー...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,4回目の訪問。最初はビストロうしすけに通ってましたが、夜メニューが不満でこちらに伺うようになりました。美味しくてメニューも多く、こちらもキッズチェアーや食器の用意もあり助かります。週末予約...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,わんこフレンドリーすぎるお店！！カートのままでも入店出来、リードフックもあるため安全です。焼肉もとても美味しくて牛タン盛り合わせと、それぞれ好きな部位を頼みました。わんこメニューも充実...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,わんこの記念日に伺いました。わんこメニューも充実していてワクワクします。人間用のお肉も最高！特におすすめのタンは分厚くて絶品でした。店員さんもみなさんフレンドリーでとても良い時間が過ごせました。また伺...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,犬連れで行けるお店は都内には数少ないので貴重です。他のお客さんも皆犬連れだったかも。うしすけ本店には少し前に行きましたが、本店はイヌ用の席と犬無しの席は完全に分かれていましたが、こちらのお台場店は...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,平日13:00、先客おらず、待たずに入店。前にお客さんがいなかったせいか、お店側が換気扇をつけ忘れていて、肉を焼き出したら店内に煙が充満して真っ白空間に。すぐに店員さんを呼んで換気扇をつけてもらっ...
肉菜工房うしすけ 台場店,https://tabelog.com/tokyo/A1313/A131306/13043065/,3.32,カウンターだったのもありお店の中で少しトラブってて賑やかだったのが気になったけど厨房の方が注意して落ち着いたから良かった。ご飯は相変わらずおいしいです。愛犬もよく食べてました。（付け合わせのジュレ？は...
