shop_name,shop_url,review_text
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,急遽、クライアントとお台場で食事をすることに。居酒屋でいいということだったので、気になったこちらのお店をチョイス。店内は沖縄感が出ていて、くつろげる座敷もあります。メニューはかなり...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,メニューが豊富で楽しめる。どの料理もおいしい。お店は落ち着いた雰囲気なので利用しやすい。沖縄の味がしっかり味わえる。色々な場面で使えると思います。近くに行った際には利用したいと思います。ありがとうござ...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,沖縄料理が食べたいと思い予約していきました！お酒の種類も多く、ゴーヤビールやルートビアなど沖縄の飲み物があって、沖縄気分が味わえました。食べ物も種類がたくさんで目移りしながらいろいろ注文して食...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,夜の飲み会で利用しました。飲み放題をつけ料理を頼んでいく形にしましたが料金は抑えられたけど満足することができました。お台場にあるのに深夜遅くまでやっている店ってあまりないからすごく良いお店だと思い...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,【店】台場駅から5分、1階に位置。はいばな と呼ぶみたいで、なんふうか と呼び続けて恥をかきました。笑外のドアが入口かと思ったがそれは引っかけ。中にしっかりと入口がある。中は沖縄の居酒屋だ...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,沖縄料理が気になっていたので夜に初訪問。早めに入ったので予約なしで入れました！個人的に1番気に入ったのはお通しのポテサラともずくの天ぷらです！チャンプルーやソーキそばも美味しかった...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,休日のランチ利用。色々食べたかったのでハーフ×3品でソーキそば、島ラー油のまぜそば、ラフティ丼をチョイス。好きなものを2〜3種類選べるこのシステムはとても良い。ソーキそばは麺が固まっていたが、...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,GWで賑わっていましたが、比較的料理はスムーズに提供してもらえました！メニューはどれも美味しくて、お酒の種類も豊富でした。（ホッピーを焼酎ではなく泡盛で割って飲んだのが美味しかったです）お店の...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,かれこれ3年連続で来てます！いや、別件で1回来ているので4回目か。ここに来る時は定番です。いつもホールスタッフが少なくて騒がしくててんやわんやですが、スタッフの皆さんいつもいい人で頑張ってくれます。と...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,水曜の20:30に訪問すぐ入れた、混雑率70%くらいか沖縄料理が一通り食べれるめちゃくちゃ美味しいわけではないが、コスパも良くて気軽に頼める感じ海ぶどうサラダはあんまりドレッシングが美...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,12時過ぎてしまったので、すぐに食べられるところと思って南風花に入ったのが失敗だった。入ってもなかなかオーダーすら取りに来てくれないし（こちらからお願いして何とかオーダー取ってもらった）、延々料理...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,コーラ:429島豚あぐーの大粒肉餃子:704ソーミンちゃんぷる～:990（味は薄めで優しい味）ソーキそば:946（沖縄で食べた時より美味しいです！）南風花自...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,アクアシティで何か食べて帰ろうと思い沖縄そばが食べたくなって伺いました平日の18時過ぎそんなに混んでいなかったので待たずに夕食にありつけました味は普通です取り立て美味し...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,前回南風花に来たら、使い勝手の悪いデジタルサイネージの券売機になっていたのだが、既に使用されていなかった。今日はもずくそばとタコライスのハーフ定食（1200円－50円割引）にした。お新香、選んださんぴ...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,■注文したものタコの塩辛あぐー豚の餃子ポークたまごミミガーの辛イリチー沖縄そば(ハーフ)■感想17時過ぎに訪問。予約があったらしく、日曜の夜でもしばらくしたら満席で...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,通りかかって沖縄料理を見てここで飲んでいこう！とお邪魔しました♪色々と注文しました！ほとんどのお料理が直ぐに提供されました！お酒を飲みながら、久々に沖縄料理で楽しく飲めました！...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,近所で沖縄料理が食べれる場所がないため、よく利用しています。お酒の種類も豊富で料理も美味しく、また深夜までやっているので重宝しております。お通しも毎回かわり、手の込んだものが多いのでここもポイ...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,職場が台場で、ランチ1000円ちょいで食べられるお店が少なくて困ります。こちらは良心的なお値段なのでよく利用します。今回は休日出勤で会社経費が使えるので贅沢しました！ゴーヤチャンプル定食120...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,ランチで利用。日曜日であったが空いており個人的に穴場のお店。ゴーヤチャンプル&ソーキそばハーフを注文。ゴーヤチャンプルはやや薄味のような気がしたがゴーヤの味をしっかり感じました。ソ...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,2回目の訪問。・お通し・タコの塩辛・アグー豚の餃子・島ラッキョウ・アグー豚のメンチカツ・ソーキそば（ハーフ）・タコライス（ハーフ）・島ラー油のまぜそば（ハーフ）...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,かなり混雑していましたが、お店の方はテキパキと仕事をこなされていました。お通しはクラッカー付きのコンビーフポテサラでした。･島豆腐の冷奴しっかりとした食感で食べ応えがありました...
南風花 アクアシティお台場店,https://tabelog.com/tokyo/A1313/A131306/13045492/,3人で一通り飲み食いして1人5000円弱台場で21時、22時以降やってる店が激減する中で唯一？（デックスのわんもそうか？）夜中までやってる店（まあ夜中になると人いなくなるよねそりゃ）...
